Harry Styles,Fine Line,To Be So Lonely,26 Apr 2020 19:55
Harry Styles,Fine Line,Falling,26 Apr 2020 19:50
Harry Styles,Fine Line,Cherry,26 Apr 2020 19:46
Dua Lipa,Future Nostalgia,Future Nostalgia,25 Apr 2020 03:33
Dua Lipa,Future Nostalgia,Boys Will Be Boys,24 Apr 2020 20:31
Dua Lipa,Future Nostalgia,Good In Bed,24 Apr 2020 20:27
Dua Lipa,Future Nostalgia,Break My Heart,24 Apr 2020 20:24
Dua Lipa,Future Nostalgia,Love Again,24 Apr 2020 20:19
Dua Lipa,Future Nostalgia,Hallucinate,24 Apr 2020 20:16
Dua Lipa,Future Nostalgia,Pretty Please,24 Apr 2020 20:13
Dua Lipa,Future Nostalgia,Levitating,24 Apr 2020 20:09
Dua Lipa,Future Nostalgia,Physical,24 Apr 2020 20:06
Dua Lipa,Future Nostalgia,Cool,24 Apr 2020 20:02
Dua Lipa,Future Nostalgia,Future Nostalgia,24 Apr 2020 20:00
Harry Styles,Fine Line,To Be So Lonely,24 Apr 2020 19:51
Harry Styles,Fine Line,Falling,24 Apr 2020 19:47
Harry Styles,Fine Line,Cherry,24 Apr 2020 19:43
Harry Styles,Fine Line,Lights Up,24 Apr 2020 19:41
Harry Styles,Fine Line,Adore You,24 Apr 2020 19:36
Allie X,Love Me Wrong,Love Me Wrong,24 Apr 2020 19:33
Harry Styles,Fine Line,She,23 Apr 2020 01:05
Harry Styles,Fine Line,To Be So Lonely,22 Apr 2020 21:37
Harry Styles,Fine Line,Falling,22 Apr 2020 21:33
Harry Styles,Fine Line,Cherry,22 Apr 2020 21:29
Harry Styles,Fine Line,Lights Up,22 Apr 2020 21:26
Harry Styles,Fine Line,Adore You,22 Apr 2020 21:23
Harry Styles,Fine Line,Watermelon Sugar,22 Apr 2020 21:20
Harry Styles,Fine Line,Golden,22 Apr 2020 21:16
Harry Styles,Fine Line,She,22 Apr 2020 19:04
Harry Styles,Fine Line,Cherry,22 Apr 2020 19:00
Harry Styles,Fine Line,Lights Up,22 Apr 2020 18:57
Harry Styles,Fine Line,Golden,22 Apr 2020 18:54
Harry Styles,Fine Line,Adore You,22 Apr 2020 18:35
Normani,Motivation,Motivation,22 Apr 2020 18:32
Lizzo,Cuz I Love You,Cuz I Love You,22 Apr 2020 18:29
Dua Lipa,bReAK mY heART,Break My Heart,22 Apr 2020 18:25
Dua Lipa,Future Nostalgia,Pretty Please,22 Apr 2020 18:22
Imagine Dragons,Origins (Deluxe),Bad Liar,22 Apr 2020 18:18
Lady Gaga,Stupid Love,Stupid Love,22 Apr 2020 18:15
The Weeknd,After Hours,Blinding Lights,22 Apr 2020 18:11
Lizzo,Cuz I Love You,Juice,22 Apr 2020 18:08
Dua Lipa,Physical,Physical,22 Apr 2020 18:05
Pabllo Vittar,111,Clima Quente,22 Apr 2020 18:02
Pabllo Vittar,111,Amor de Que,21 Apr 2020 21:07
Pabllo Vittar,111,Lovezinho (feat. Ivete Sangalo),21 Apr 2020 21:05
Pabllo Vittar,111,Tímida,21 Apr 2020 21:02
Pabllo Vittar,111,Salvaje,21 Apr 2020 20:59
Pabllo Vittar,111,Ponte Perra,21 Apr 2020 20:57
Pabllo Vittar,111,Flash Pose,21 Apr 2020 20:55
Pabllo Vittar,111,Rajadão,21 Apr 2020 20:52
Pabllo Vittar,111,Parabéns,21 Apr 2020 20:50
Pabllo Vittar,111,Clima Quente,21 Apr 2020 20:48
Sam Smith,I’m Ready (with Demi Lovato),I’m Ready (with Demi Lovato),21 Apr 2020 20:42
Dua Lipa,Future Nostalgia,Don't Start Now,21 Apr 2020 20:39
Dua Lipa,Future Nostalgia,Physical,21 Apr 2020 20:36
Dua Lipa,Future Nostalgia,Boys Will Be Boys,21 Apr 2020 20:33
Dua Lipa,Future Nostalgia,Levitating,21 Apr 2020 20:30
Allie X,Cape God,Love Me Wrong,21 Apr 2020 20:26
Allie X,Love Me Wrong,Love Me Wrong,21 Apr 2020 20:22
Allie X,Love Me Wrong,Love Me Wrong,21 Apr 2020 20:18
Kids Hits Now!,Ultimate Karaoke Kids Hits,Waka Waka (This Time for Africa) [Originally Performed By Shakira],20 Apr 2020 01:34
Shakira,Fijación Oral Vol. 1,No (feat. Gustavo Cerati),19 Apr 2020 23:21
Tini,Diciembre,Diciembre,19 Apr 2020 23:18
Little Mix,Get Weird (Deluxe),Black Magic,19 Apr 2020 05:28
Harry Styles,Fine Line,Adore You,19 Apr 2020 02:22
Sam Smith,I’m Ready (with Demi Lovato),I’m Ready (with Demi Lovato),19 Apr 2020 02:18
Pabllo Vittar,111,Tímida,19 Apr 2020 02:14
Pabllo Vittar,111,Lovezinho (feat. Ivete Sangalo),19 Apr 2020 02:12
Pabllo Vittar,111,Ponte Perra,19 Apr 2020 02:10
Pabllo Vittar,111,Salvaje,19 Apr 2020 02:07
Pabllo Vittar,111,Clima Quente,19 Apr 2020 02:05
Pabllo Vittar,111,Amor de Que,19 Apr 2020 02:01
Pabllo Vittar,111,Flash Pose,19 Apr 2020 01:59
Rosalía,El Mal Querer,MALAMENTE - Cap.1: Augurio,16 Apr 2020 21:36
Rosalía,El Mal Querer,A NINGÚN HOMBRE - Cap.11: Poder,16 Apr 2020 21:07
Rosalía,El Mal Querer,RENIEGO - Cap.5: Lamento,16 Apr 2020 21:03
Rosalía,El Mal Querer,DI MI NOMBRE - Cap.8: Éxtasis,16 Apr 2020 21:01
Rosalía,El Mal Querer,BAGDAD - Cap.7: Liturgia,16 Apr 2020 20:58
Rosalía,El Mal Querer,PRESO - Cap.6: Clausura,16 Apr 2020 20:57
Rosalía,El Mal Querer,QUE NO SALGA LA LUNA - Cap.2: Boda,16 Apr 2020 20:53
Rosalía,El Mal Querer,DE AQUÍ NO SALES - Cap.4: Disputa,16 Apr 2020 20:50
Rosalía,El Mal Querer,PIENSO EN TU MIRÁ - Cap.3: Celos,16 Apr 2020 20:47
Rosalía,El Mal Querer,MALAMENTE - Cap.1: Augurio,16 Apr 2020 20:45
Rosalía,El Mal Querer,MALAMENTE - Cap.1: Augurio,16 Apr 2020 20:41
Normani,Motivation,Motivation,16 Apr 2020 20:36
Dua Lipa,Future Nostalgia,Pretty Please,16 Apr 2020 20:33
Imagine Dragons,Origins (Deluxe),Bad Liar,16 Apr 2020 20:30
Dua Lipa,bReAK mY heART,Break My Heart,16 Apr 2020 20:29
Pabllo Vittar,111,Salvaje,16 Apr 2020 20:25
Pabllo Vittar,111,Clima Quente,16 Apr 2020 20:18
The Weeknd,After Hours,Blinding Lights,16 Apr 2020 20:07
Lady Gaga,Stupid Love,Stupid Love,16 Apr 2020 20:04
Harry Styles,Fine Line,Adore You,16 Apr 2020 19:57
Lizzo,Cuz I Love You,Juice,16 Apr 2020 19:54
Lizzo,Cuz I Love You,Cuz I Love You,16 Apr 2020 19:51
Zayn,Mind of Mine (Deluxe Edition),BeFoUr,16 Apr 2020 19:47
Zayn,Mind of Mine (Deluxe Edition),sHe,16 Apr 2020 19:42
Troye Sivan,Bloom,Dance to This (feat. Ariana Grande),16 Apr 2020 19:38
Martin Garrix,There for You,There for You,16 Apr 2020 19:35
Troye Sivan,Bloom,My My My!,16 Apr 2020 19:31
Troye Sivan,Take Yourself Home,Take Yourself Home,16 Apr 2020 19:31
Arcangel,Sigues Con El (Remix),Sigues Con El - Remix,16 Apr 2020 19:27
J Balvin,Colores,Amarillo,16 Apr 2020 19:24
Karol G,Follow,Follow,16 Apr 2020 19:22
Lorde,Melodrama,Sober,16 Apr 2020 17:41
Lorde,Pure Heroine (Extended),Team,16 Apr 2020 17:15
Lorde,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Soundtrack),Ladder Song,16 Apr 2020 17:10
Lorde,Melodrama,Homemade Dynamite - Remix,16 Apr 2020 17:07
Lorde,Pure Heroine,Royals,16 Apr 2020 17:07
Lorde,Melodrama,Homemade Dynamite - Remix,16 Apr 2020 17:03
Lorde,Pure Heroine (Extended),White Teeth Teens,16 Apr 2020 17:00
Lorde,Melodrama,The Louvre,16 Apr 2020 16:55
Lorde,Melodrama,Green Light,16 Apr 2020 16:52
Lorde,Pure Heroine (Extended),Buzzcut Season,16 Apr 2020 16:46
Lorde,Melodrama,Writer in the Dark,16 Apr 2020 16:42
Lorde,Pure Heroine (Extended),Tennis Court,16 Apr 2020 16:39
Lorde,Melodrama,Supercut,16 Apr 2020 16:36
Lorde,Melodrama,Hard Feelings/Loveless,16 Apr 2020 16:28
Lorde,The Hunger Games: Mockingjay Pt. 1 (Original Motion Picture Soundtrack),Flicker (Kanye West Rework),16 Apr 2020 16:23
Lorde,Pure Heroine (Extended),The Love Club,16 Apr 2020 16:20
Lorde,Pure Heroine,Ribs,16 Apr 2020 16:15
RuPaul,Queens Everywhere (Cast Version),Queens Everywhere - Cast Version,16 Apr 2020 03:41
Pabllo Vittar,111,Clima Quente,16 Apr 2020 03:36
Ovy On The Drums,Ya no me llames,Ya no me llames,16 Apr 2020 03:33
Bad Bunny,YHLQMDLG,Yo Perreo Sola,16 Apr 2020 03:30
Bad Bunny,YHLQMDLG,Safaera,16 Apr 2020 03:26
Pabllo Vittar,111,Tímida,16 Apr 2020 03:23
Pabllo Vittar,111,Amor de Que,16 Apr 2020 03:20
Pabllo Vittar,111,Salvaje,16 Apr 2020 03:20
Pabllo Vittar,111,Amor de Que,16 Apr 2020 02:51
Imagine Dragons,Origins (Deluxe),Bad Liar,16 Apr 2020 02:46
